Binary,Expresso_tts,Num_gates,Optimal_net,Permu_int,Num_in
00000000,0,NAN,NAN,0,0
00000001,"And(x[0], x[1], x[2])",6,"O = NOR(I1, I2),I1 = NOR(c),I2 = NOR(I3),I3 = NOR(I4, I5),I4 = NOR(b),I5 = NOR(a)",127,3
00000010,"And(~x[0], x[1], x[2])",5,"O = NOR(I1, I2),I1 = NOR(b),I2 = NOR(I3),I3 = NOR(I4, c),I4 = NOR(a)",191,3
00000011,"And(x[1], x[2])",3,"O = NOR(I1, I2),I1 = NOR(a, c),I2 = NOR(a, b)",7,2
00000100,"And(x[0], ~x[1], x[2])",5,"O = NOR(I1, I2),I1 = NOR(a),I2 = NOR(I3),I3 = NOR(I4, c),I4 = NOR(b)",191,3
00000101,"And(x[0], x[2])",3,"O = NOR(I1, I2),I1 = NOR(a, c),I2 = NOR(a, b)",7,2
00000110,"Or(And(~x[0], x[1], x[2]), And(x[0], ~x[1], x[2]))",6,"O = NOR(I1, I6),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(c, b),I4 = NOR(b, I3)",159,3
00000111,"Or(And(x[1], x[2]), And(x[0], x[2]))",3,"O = NOR(I1, I2),I1 = NOR(b, c),I2 = NOR(a)",31,3
00001000,"And(~x[0], ~x[1], x[2])",4,"O = NOR(I1, I2),I1 = NOR(a),I2 = NOR(I3),I3 = NOR(b, c)",239,3
00001001,"Or(And(~x[0], ~x[1], x[2]), And(x[0], x[1], x[2]))",7,"O = NOR(I1, I3),I1 = NOR(I2, c),I2 = NOR(b, c),I3 = NOR(I4),I4 = NOR(I5, I6),I5 = NOR(a),I6 = NOR(b, I2)",111,3
00001010,"And(~x[0], x[2])",4,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(c, I3),I3 = NOR(b)",11,2
00001011,"Or(And(~x[0], x[2]), And(x[1], x[2]))",4,"O = NOR(I1, I3),I1 = NOR(I2, b),I2 = NOR(c),I3 = NOR(a)",47,3
00001100,"And(~x[1], x[2])",4,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(c, I3),I3 = NOR(b)",11,2
00001101,"Or(And(~x[1], x[2]), And(x[0], x[2]))",4,"O = NOR(I1, I3),I1 = NOR(I2, a),I2 = NOR(c),I3 = NOR(b)",47,3
00001110,"Or(And(~x[1], x[2]), And(~x[0], x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(a),I4 = NOR(b, I3)",143,3
00001111,x[2],4,"O = NOR(I1),I1 = NOR(a, I2),I2 = NOR(I3),I3 = NOR(b, c)",1,1
00010000,"And(x[0], x[1], ~x[2])",5,"O = NOR(I1, I2),I1 = NOR(a),I2 = NOR(I3),I3 = NOR(I4, b),I4 = NOR(c)",191,3
00010001,"And(x[0], x[1])",3,"O = NOR(I1, I2),I1 = NOR(a, c),I2 = NOR(a, b)",7,2
00010010,"Or(And(x[0], x[1], ~x[2]), And(~x[0], x[1], x[2]))",6,"O = NOR(I1, I6),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(b, c),I4 = NOR(c, I3)",159,3
00010011,"Or(And(x[1], x[2]), And(x[0], x[1]))",3,"O = NOR(I1, I2),I1 = NOR(c, b),I2 = NOR(a)",31,3
00010100,"Or(And(x[0], x[1], ~x[2]), And(x[0], ~x[1], x[2]))",6,"O = NOR(I1, I6),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(a, c),I4 = NOR(c, I3)",159,3
00010101,"Or(And(x[0], x[1]), And(x[0], x[2]))",3,"O = NOR(I1, I2),I1 = NOR(c, a),I2 = NOR(b)",31,3
00010110,"Or(And(x[0], x[1], ~x[2]), And(~x[0], x[1], x[2]), And(x[0], ~x[1], x[2]))",9,"O = NOR(I1, I6),I1 = NOR(I2, I9),I2 = NOR(c, I3),I3 = NOR(c, I4),I4 = NOR(I5, I7),I5 = NOR(b, I6),I6 = NOR(b, a),I7 = NOR(a, I6)",151,3
00010111,"Or(And(x[1], x[2]), And(x[0], x[1]), And(x[0], x[2]))",6,"O = NOR(I1, I5),I1 = NOR(b, I2),I2 = NOR(I3, I4),I3 = NOR(c),I4 = NOR(a),I5 = NOR(a, c)",23,3
00011000,"Or(And(x[0], x[1], ~x[2]), And(~x[0], ~x[1], x[2]))",6,"O = NOR(I1, I5),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(a),I4 = NOR(c, a),I5 = NOR(c, b)",189,3
00011001,"Or(And(~x[0], ~x[1], x[2]), And(x[0], x[1]))",6,"O = NOR(I1, I4),I1 = NOR(I2, a),I2 = NOR(c, I3),I3 = NOR(b),I4 = NOR(c, I5),I5 = NOR(a)",61,3
00011010,"Or(And(~x[0], x[2]), And(x[0], x[1], ~x[2]))",6,"O = NOR(I1, I6),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(b, c),I4 = NOR(c, I3)",155,3
00011011,"Or(And(~x[0], x[2]), And(x[0], x[1]))",4,"O = NOR(I1, I2),I1 = NOR(c, b),I2 = NOR(I3, a),I3 = NOR(b)",27,3
00011100,"Or(And(~x[1], x[2]), And(x[0], x[1], ~x[2]))",6,"O = NOR(I1, I6),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(a, c),I4 = NOR(c, I3)",155,3
00011101,"Or(And(~x[1], x[2]), And(x[0], x[1]))",4,"O = NOR(I1, I2),I1 = NOR(c, a),I2 = NOR(I3, b),I3 = NOR(a)",27,3
00011110,"Or(And(~x[1], x[2]), And(x[0], x[1], ~x[2]), And(~x[0], x[2]))",8,"O = NOR(I1, I6),I1 = NOR(I2, I10),I2 = NOR(I3, I6),I3 = NOR(I4, I5),I4 = NOR(c),I5 = NOR(b),I6 = NOR(a, I3)",135,3
00011111,"Or(x[2], And(x[0], x[1]))",3,"O = NOR(I1, I2),I1 = NOR(a, c),I2 = NOR(a, b)",7,3
00100000,"And(~x[0], x[1], ~x[2])",4,"O = NOR(I1, I2),I1 = NOR(a),I2 = NOR(I3),I3 = NOR(c, b)",239,3
00100001,"Or(And(~x[0], x[1], ~x[2]), And(x[0], x[1], x[2]))",7,"O = NOR(I1, I3),I1 = NOR(I2, b),I2 = NOR(c, b),I3 = NOR(I4),I4 = NOR(I5, I6),I5 = NOR(a),I6 = NOR(c, I2)",111,3
00100010,"And(~x[0], x[1])",4,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(c, I3),I3 = NOR(b)",11,2
00100011,"Or(And(~x[0], x[1]), And(x[1], x[2]))",4,"O = NOR(I1, I3),I1 = NOR(I2, c),I2 = NOR(b),I3 = NOR(a)",47,3
00100100,"Or(And(~x[0], x[1], ~x[2]), And(x[0], ~x[1], x[2]))",6,"O = NOR(I1, I5),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(a),I4 = NOR(b, a),I5 = NOR(b, c)",189,3
00100101,"Or(And(~x[0], x[1], ~x[2]), And(x[0], x[2]))",6,"O = NOR(I1, I4),I1 = NOR(I2, a),I2 = NOR(b, I3),I3 = NOR(c),I4 = NOR(b, I5),I5 = NOR(a)",61,3
00100110,"Or(And(~x[0], x[1]), And(x[0], ~x[1], x[2]))",6,"O = NOR(I1, I6),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(c, b),I4 = NOR(b, I3)",155,3
00100111,"Or(And(~x[0], x[1]), And(x[0], x[2]))",4,"O = NOR(I1, I2),I1 = NOR(b, c),I2 = NOR(I3, a),I3 = NOR(c)",27,3
00101000,"Or(And(~x[0], ~x[1], x[2]), And(~x[0], x[1], ~x[2]))",5,"O = NOR(I1, c),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(b, a),I4 = NOR(a, I3)",235,3
00101001,"Or(And(~x[0], ~x[1], x[2]), And(~x[0], x[1], ~x[2]), And(x[0], x[1], x[2]))",8,"O = NOR(I1, I12),I1 = NOR(I2, I6),I2 = NOR(b, I3),I3 = NOR(b, I4),I4 = NOR(I5, c),I5 = NOR(a, c),I6 = NOR(I4, I3)",107,3
00101010,"Or(And(~x[0], x[2]), And(~x[0], x[1]))",2,"O = NOR(I1, c),I1 = NOR(a, b)",171,3
00101011,"Or(And(~x[0], x[2]), And(~x[0], x[1]), And(x[1], x[2]))",5,"O = NOR(I1, I4),I1 = NOR(I2, b),I2 = NOR(c, I3),I3 = NOR(c, a),I4 = NOR(a, I3)",43,3
00101100,"Or(And(~x[1], x[2]), And(~x[0], x[1], ~x[2]))",5,"O = NOR(I1, I4),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(b, a),I4 = NOR(c, b)",173,3
00101101,"Or(And(~x[1], x[2]), And(~x[0], x[1], ~x[2]), And(x[0], x[2]))",7,"O = NOR(I1, I5),I1 = NOR(I2, I8),I2 = NOR(I3, I5),I3 = NOR(I4, a),I4 = NOR(c),I5 = NOR(b, I3)",45,3
00101110,"Or(And(~x[1], x[2]), And(~x[0], x[1]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(a, b),I4 = NOR(b, I3)",139,3
00101111,"Or(x[2], And(~x[0], x[1]))",4,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(c, I3),I3 = NOR(b)",11,3
00110000,"And(x[1], ~x[2])",4,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(b, I3),I3 = NOR(c)",11,2
00110001,"Or(And(x[1], ~x[2]), And(x[0], x[1]))",4,"O = NOR(I1, I3),I1 = NOR(I2, a),I2 = NOR(b),I3 = NOR(c)",47,3
00110010,"Or(And(x[1], ~x[2]), And(~x[0], x[1]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(a),I4 = NOR(c, I3)",143,3
00110011,x[1],4,"O = NOR(I1),I1 = NOR(a, I2),I2 = NOR(I3),I3 = NOR(b, c)",1,1
00110100,"Or(And(x[1], ~x[2]), And(x[0], ~x[1], x[2]))",6,"O = NOR(I1, I6),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(a, b),I4 = NOR(b, I3)",155,3
00110101,"Or(And(x[1], ~x[2]), And(x[0], x[2]))",4,"O = NOR(I1, I2),I1 = NOR(b, a),I2 = NOR(I3, c),I3 = NOR(a)",27,3
00110110,"Or(And(x[1], ~x[2]), And(~x[0], x[1]), And(x[0], ~x[1], x[2]))",8,"O = NOR(I1, I6),I1 = NOR(I2, I10),I2 = NOR(I3, I6),I3 = NOR(I4, I5),I4 = NOR(b),I5 = NOR(c),I6 = NOR(a, I3)",135,3
00110111,"Or(x[1], And(x[0], x[2]))",3,"O = NOR(I1, I2),I1 = NOR(a, b),I2 = NOR(a, c)",7,3
00111000,"Or(And(~x[0], ~x[1], x[2]), And(x[1], ~x[2]))",5,"O = NOR(I1, I4),I1 = NOR(I2, I3),I2 = NOR(b),I3 = NOR(c, a),I4 = NOR(b, c)",173,3
00111001,"Or(And(~x[0], ~x[1], x[2]), And(x[0], x[1]), And(x[1], ~x[2]))",7,"O = NOR(I1, I5),I1 = NOR(I2, I8),I2 = NOR(I3, I5),I3 = NOR(I4, a),I4 = NOR(b),I5 = NOR(c, I3)",45,3
00111010,"Or(And(~x[0], x[2]), And(x[1], ~x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(a, c),I4 = NOR(c, I3)",139,3
00111011,"Or(x[1], And(~x[0], x[2]))",4,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(b, I3),I3 = NOR(c)",11,3
00111100,"Or(And(~x[1], x[2]), And(x[1], ~x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(c, b),I4 = NOR(I5),I5 = NOR(I6, a),I6 = NOR(b, I3)",9,2
00111101,"Or(And(~x[1], x[2]), And(x[1], ~x[2]), And(x[0], x[2]))",7,"O = NOR(I1, I2),I1 = NOR(c, a),I2 = NOR(I3, I4),I3 = NOR(a),I4 = NOR(I5),I5 = NOR(I6, b),I6 = NOR(c)",25,3
00111110,"Or(And(~x[0], x[2]), And(x[1], ~x[2]), And(~x[1], x[2]))",8,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(b, a),I4 = NOR(I5),I5 = NOR(I6, I8),I6 = NOR(b, I3)",131,3
00111111,"Or(x[1], x[2])",4,"O = NOR(I1),I1 = NOR(a, I2),I2 = NOR(I3),I3 = NOR(b, c)",1,2
01000000,"And(x[0], ~x[1], ~x[2])",4,"O = NOR(I1, I2),I1 = NOR(b),I2 = NOR(I3),I3 = NOR(c, a)",239,3
01000001,"Or(And(x[0], x[1], x[2]), And(x[0], ~x[1], ~x[2]))",7,"O = NOR(I1, I3),I1 = NOR(I2, a),I2 = NOR(c, a),I3 = NOR(I4),I4 = NOR(I5, I6),I5 = NOR(b),I6 = NOR(c, I2)",111,3
01000010,"Or(And(~x[0], x[1], x[2]), And(x[0], ~x[1], ~x[2]))",6,"O = NOR(I1, I5),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(b),I4 = NOR(a, b),I5 = NOR(a, c)",189,3
01000011,"Or(And(x[1], x[2]), And(x[0], ~x[1], ~x[2]))",6,"O = NOR(I1, I4),I1 = NOR(I2, b),I2 = NOR(a, I3),I3 = NOR(c),I4 = NOR(a, I5),I5 = NOR(b)",61,3
01000100,"And(x[0], ~x[1])",4,"O = NOR(I1),I1 = NOR(I2, b),I2 = NOR(c, I3),I3 = NOR(a)",11,2
01000101,"Or(And(x[0], ~x[1]), And(x[0], x[2]))",4,"O = NOR(I1, I3),I1 = NOR(I2, c),I2 = NOR(a),I3 = NOR(b)",47,3
01000110,"Or(And(x[0], ~x[1]), And(~x[0], x[1], x[2]))",6,"O = NOR(I1, I6),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(c, a),I4 = NOR(a, I3)",155,3
01000111,"Or(And(x[0], ~x[1]), And(x[1], x[2]))",4,"O = NOR(I1, I2),I1 = NOR(a, c),I2 = NOR(I3, b),I3 = NOR(c)",27,3
01001000,"Or(And(~x[0], ~x[1], x[2]), And(x[0], ~x[1], ~x[2]))",5,"O = NOR(I1, c),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(a, b),I4 = NOR(b, I3)",235,3
01001001,"Or(And(~x[0], ~x[1], x[2]), And(x[0], x[1], x[2]), And(x[0], ~x[1], ~x[2]))",8,"O = NOR(I1, I12),I1 = NOR(I2, I6),I2 = NOR(a, I3),I3 = NOR(a, I4),I4 = NOR(I5, c),I5 = NOR(b, c),I6 = NOR(I4, I3)",107,3
01001010,"Or(And(~x[0], x[2]), And(x[0], ~x[1], ~x[2]))",5,"O = NOR(I1, I4),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(a, b),I4 = NOR(c, a)",173,3
01001011,"Or(And(~x[0], x[2]), And(x[1], x[2]), And(x[0], ~x[1], ~x[2]))",7,"O = NOR(I1, I5),I1 = NOR(I2, I8),I2 = NOR(I3, I5),I3 = NOR(I4, b),I4 = NOR(c),I5 = NOR(a, I3)",45,3
01001100,"Or(And(x[0], ~x[1]), And(~x[1], x[2]))",2,"O = NOR(I1, c),I1 = NOR(b, a)",171,3
01001101,"Or(And(x[0], ~x[1]), And(x[0], x[2]), And(~x[1], x[2]))",5,"O = NOR(I1, I4),I1 = NOR(I2, a),I2 = NOR(c, I3),I3 = NOR(c, b),I4 = NOR(b, I3)",43,3
01001110,"Or(And(x[0], ~x[1]), And(~x[0], x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(b, a),I4 = NOR(a, I3)",139,3
01001111,"Or(x[2], And(x[0], ~x[1]))",4,"O = NOR(I1),I1 = NOR(I2, b),I2 = NOR(c, I3),I3 = NOR(a)",11,3
01010000,"And(x[0], ~x[2])",4,"O = NOR(I1),I1 = NOR(I2, c),I2 = NOR(b, I3),I3 = NOR(a)",11,2
01010001,"Or(And(x[0], ~x[2]), And(x[0], x[1]))",4,"O = NOR(I1, I3),I1 = NOR(I2, b),I2 = NOR(a),I3 = NOR(c)",47,3
01010010,"Or(And(x[0], ~x[2]), And(~x[0], x[1], x[2]))",6,"O = NOR(I1, I6),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(b, a),I4 = NOR(a, I3)",155,3
01010011,"Or(And(x[0], ~x[2]), And(x[1], x[2]))",4,"O = NOR(I1, I2),I1 = NOR(a, b),I2 = NOR(I3, c),I3 = NOR(b)",27,3
01010100,"Or(And(x[0], ~x[2]), And(x[0], ~x[1]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(b),I4 = NOR(c, I3)",143,3
01010101,x[0],4,"O = NOR(I1),I1 = NOR(a, I2),I2 = NOR(I3),I3 = NOR(b, c)",1,1
01010110,"Or(And(x[0], ~x[2]), And(~x[0], x[1], x[2]), And(x[0], ~x[1]))",8,"O = NOR(I1, I6),I1 = NOR(I2, I10),I2 = NOR(I3, I6),I3 = NOR(I4, I5),I4 = NOR(a),I5 = NOR(c),I6 = NOR(b, I3)",135,3
01010111,"Or(x[0], And(x[1], x[2]))",3,"O = NOR(I1, I2),I1 = NOR(b, a),I2 = NOR(b, c)",7,3
01011000,"Or(And(x[0], ~x[2]), And(~x[0], ~x[1], x[2]))",5,"O = NOR(I1, I4),I1 = NOR(I2, I3),I2 = NOR(a),I3 = NOR(c, b),I4 = NOR(a, c)",173,3
01011001,"Or(And(x[0], ~x[2]), And(~x[0], ~x[1], x[2]), And(x[0], x[1]))",7,"O = NOR(I1, I5),I1 = NOR(I2, I8),I2 = NOR(I3, I5),I3 = NOR(I4, b),I4 = NOR(a),I5 = NOR(c, I3)",45,3
01011010,"Or(And(x[0], ~x[2]), And(~x[0], x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(c, b),I4 = NOR(I5),I5 = NOR(I6, a),I6 = NOR(b, I3)",9,2
