Binary,Expresso_tts,Num_gates,Optimal_net,Permu_int,Num_in
10101001,"Or(And(~x[0], ~x[1]), And(x[0], x[1], x[2]), And(~x[0], ~x[2]))",7,"O = NOR(I1, I6),I1 = NOR(I2, c),I2 = NOR(I3, c),I3 = NOR(I4, I5),I4 = NOR(b),I5 = NOR(a),I6 = NOR(I3, I2)",106,3
10101010,~x[0],5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(a, b)",2,1
10101011,"Or(~x[0], And(x[1], x[2]))",4,"O = NOR(I1, I3),I1 = NOR(I2, b),I2 = NOR(c),I3 = NOR(a, I2)",42,3
10101100,"Or(And(~x[1], x[2]), And(~x[0], ~x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(b),I4 = NOR(b, a)",172,3
10101101,"Or(And(~x[1], x[2]), And(~x[0], ~x[2]), And(x[0], x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c, a),I3 = NOR(I4, I6),I4 = NOR(I5, a),I5 = NOR(b, a),I6 = NOR(b, I5)",44,3
10101110,"Or(~x[0], And(~x[1], x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(b, I4),I4 = NOR(a)",138,3
10101111,"Or(~x[0], x[2])",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(a, b)",2,2
10110000,"Or(And(x[1], ~x[2]), And(~x[0], ~x[2]))",3,"O = NOR(I1, b),I1 = NOR(I2, c),I2 = NOR(a)",174,3
10110001,"Or(And(x[0], x[1]), And(~x[0], ~x[2]))",4,"O = NOR(I1, I3),I1 = NOR(I2, a),I2 = NOR(b, a),I3 = NOR(c, I2)",46,3
10110010,"Or(And(x[1], ~x[2]), And(~x[0], ~x[2]), And(~x[0], x[1]))",6,"O = NOR(I1),I1 = NOR(I2, I5),I2 = NOR(b, I3),I3 = NOR(a, I4),I4 = NOR(a, c),I5 = NOR(c, I4)",142,3
10110011,"Or(x[1], And(~x[0], ~x[2]))",3,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(c, b)",14,3
10110100,"Or(And(x[1], ~x[2]), And(~x[0], ~x[2]), And(x[0], ~x[1], x[2]))",6,"O = NOR(I1, I7),I1 = NOR(I2, I3),I2 = NOR(a, I3),I3 = NOR(b, I4),I4 = NOR(c)",154,3
10110101,"Or(And(x[1], ~x[2]), And(~x[0], ~x[2]), And(x[0], x[2]))",6,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c, a),I3 = NOR(I4, I5),I4 = NOR(b, a),I5 = NOR(c)",26,3
10110110,"Or(And(x[1], ~x[2]), And(~x[0], x[1]), And(~x[0], ~x[2]), And(x[0], ~x[1], x[2]))",9,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(b, a),I4 = NOR(I5, I11),I5 = NOR(I6, I7),I6 = NOR(c, I7),I7 = NOR(a, I3)",134,3
10110111,"Or(x[1], And(~x[0], ~x[2]), And(x[0], x[2]))",6,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c, b),I3 = NOR(I4, I5),I4 = NOR(a, b),I5 = NOR(c, a)",6,3
10111000,"Or(And(~x[0], ~x[1]), And(x[1], ~x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(c),I4 = NOR(c, a)",172,3
10111001,"Or(And(~x[0], ~x[1]), And(x[1], ~x[2]), And(x[0], x[1]))",7,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b, a),I3 = NOR(I4, I6),I4 = NOR(I5, a),I5 = NOR(c, a),I6 = NOR(c, I5)",44,3
10111010,"Or(~x[0], And(x[1], ~x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b),I3 = NOR(c, I4),I4 = NOR(a)",138,3
10111011,"Or(~x[0], x[1])",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(a, b)",2,2
10111100,"Or(And(~x[1], x[2]), And(x[1], ~x[2]), And(~x[0], ~x[2]))",6,"O = NOR(I1, I7),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(b, c),I4 = NOR(c, I2)",152,3
10111101,"Or(And(~x[1], x[2]), And(x[0], x[1]), And(~x[0], ~x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b, c),I3 = NOR(I4, I5),I4 = NOR(c, a),I5 = NOR(b, I6),I6 = NOR(a)",24,3
10111110,"Or(~x[0], And(~x[1], x[2]), And(x[1], ~x[2]))",8,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(I5, I7),I5 = NOR(b, I6),I6 = NOR(b, a),I7 = NOR(a, I6)",130,3
10111111,"Or(~x[0], x[1], x[2])",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(a, b)",2,3
11000000,"And(~x[1], ~x[2])",3,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(b, c)",14,2
11000001,"Or(And(x[0], x[1], x[2]), And(~x[1], ~x[2]))",7,"O = NOR(I1, I3),I1 = NOR(I2, a),I2 = NOR(c, a),I3 = NOR(I4),I4 = NOR(I5, I7),I5 = NOR(b, I2)",110,3
11000010,"Or(And(~x[0], x[1], x[2]), And(~x[1], ~x[2]))",6,"O = NOR(I1, I5),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(b),I4 = NOR(a, b),I5 = NOR(a, I4)",188,3
11000011,"Or(And(x[1], x[2]), And(~x[1], ~x[2]))",6,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b, c),I3 = NOR(I4, I5),I4 = NOR(a, c),I5 = NOR(b, a)",6,2
11000100,"Or(And(x[0], ~x[1]), And(~x[1], ~x[2]))",3,"O = NOR(I1, a),I1 = NOR(I2, b),I2 = NOR(c)",174,3
11000101,"Or(And(~x[1], ~x[2]), And(x[0], x[2]))",4,"O = NOR(I1, I3),I1 = NOR(I2, c),I2 = NOR(a, c),I3 = NOR(b, I2)",46,3
11000110,"Or(And(x[0], ~x[1]), And(~x[0], x[1], x[2]), And(~x[1], ~x[2]))",6,"O = NOR(I1, I7),I1 = NOR(I2, I3),I2 = NOR(c, I3),I3 = NOR(a, I4),I4 = NOR(b)",154,3
11000111,"Or(And(~x[1], ~x[2]), And(x[1], x[2]), And(x[0], x[2]))",6,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b, c),I3 = NOR(I4, I5),I4 = NOR(a, c),I5 = NOR(b)",26,3
11001000,"Or(And(~x[0], ~x[1]), And(~x[1], ~x[2]))",4,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(a, c),I3 = NOR(b, c)",234,3
11001001,"Or(And(~x[0], ~x[1]), And(x[0], x[1], x[2]), And(~x[1], ~x[2]))",7,"O = NOR(I1, I6),I1 = NOR(I2, c),I2 = NOR(I3, c),I3 = NOR(I4, I5),I4 = NOR(a),I5 = NOR(b),I6 = NOR(I3, I2)",106,3
11001010,"Or(And(~x[0], x[2]), And(~x[1], ~x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(a),I4 = NOR(a, b)",172,3
11001011,"Or(And(~x[0], x[2]), And(x[1], x[2]), And(~x[1], ~x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c, b),I3 = NOR(I4, I6),I4 = NOR(I5, b),I5 = NOR(a, b),I6 = NOR(a, I5)",44,3
11001100,~x[1],5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(a, b)",2,1
11001101,"Or(~x[1], And(x[0], x[2]))",4,"O = NOR(I1, I3),I1 = NOR(I2, a),I2 = NOR(c),I3 = NOR(b, I2)",42,3
11001110,"Or(~x[1], And(~x[0], x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(a, I4),I4 = NOR(b)",138,3
11001111,"Or(~x[1], x[2])",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(a, b)",2,2
11010000,"Or(And(x[0], ~x[2]), And(~x[1], ~x[2]))",3,"O = NOR(I1, a),I1 = NOR(I2, c),I2 = NOR(b)",174,3
11010001,"Or(And(x[0], x[1]), And(~x[1], ~x[2]))",4,"O = NOR(I1, I3),I1 = NOR(I2, b),I2 = NOR(a, b),I3 = NOR(c, I2)",46,3
11010010,"Or(And(x[0], ~x[2]), And(~x[0], x[1], x[2]), And(~x[1], ~x[2]))",6,"O = NOR(I1, I7),I1 = NOR(I2, I3),I2 = NOR(b, I3),I3 = NOR(a, I4),I4 = NOR(c)",154,3
11010011,"Or(And(x[0], ~x[2]), And(x[1], x[2]), And(~x[1], ~x[2]))",6,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c, b),I3 = NOR(I4, I5),I4 = NOR(a, b),I5 = NOR(c)",26,3
11010100,"Or(And(x[0], ~x[2]), And(x[0], ~x[1]), And(~x[1], ~x[2]))",6,"O = NOR(I1),I1 = NOR(I2, I5),I2 = NOR(a, I3),I3 = NOR(b, I4),I4 = NOR(b, c),I5 = NOR(c, I4)",142,3
11010101,"Or(x[0], And(~x[1], ~x[2]))",3,"O = NOR(I1),I1 = NOR(I2, b),I2 = NOR(c, a)",14,3
11010110,"Or(And(x[0], ~x[2]), And(~x[0], x[1], x[2]), And(x[0], ~x[1]), And(~x[1], ~x[2]))",9,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(a, b),I4 = NOR(I5, I11),I5 = NOR(I6, I7),I6 = NOR(c, I7),I7 = NOR(b, I3)",134,3
11010111,"Or(x[0], And(x[1], x[2]), And(~x[1], ~x[2]))",6,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c, a),I3 = NOR(I4, I5),I4 = NOR(b, a),I5 = NOR(c, b)",6,3
11011000,"Or(And(x[0], ~x[2]), And(~x[0], ~x[1]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(c),I4 = NOR(c, b)",172,3
11011001,"Or(And(~x[0], ~x[1]), And(x[0], x[1]), And(~x[1], ~x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(a, b),I3 = NOR(I4, I6),I4 = NOR(I5, b),I5 = NOR(c, b),I6 = NOR(c, I5)",44,3
11011010,"Or(And(x[0], ~x[2]), And(~x[1], ~x[2]), And(~x[0], x[2]))",6,"O = NOR(I1, I7),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(a, c),I4 = NOR(c, I2)",152,3
11011011,"Or(And(~x[0], x[2]), And(x[0], x[1]), And(~x[1], ~x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(a, c),I3 = NOR(I4, I5),I4 = NOR(c, b),I5 = NOR(a, I6),I6 = NOR(b)",24,3
11011100,"Or(~x[1], And(x[0], ~x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(a),I3 = NOR(c, I4),I4 = NOR(b)",138,3
11011101,"Or(x[0], ~x[1])",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(b, a)",2,2
11011110,"Or(~x[1], And(x[0], ~x[2]), And(~x[0], x[2]))",8,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(I5, I7),I5 = NOR(a, I6),I6 = NOR(a, b),I7 = NOR(b, I6)",130,3
11011111,"Or(x[0], ~x[1], x[2])",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(b, a)",2,3
11100000,"Or(And(~x[0], ~x[2]), And(~x[1], ~x[2]))",4,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(a, b),I3 = NOR(c, b)",234,3
11100001,"Or(And(~x[0], ~x[2]), And(x[0], x[1], x[2]), And(~x[1], ~x[2]))",7,"O = NOR(I1, I6),I1 = NOR(I2, b),I2 = NOR(I3, b),I3 = NOR(I4, I5),I4 = NOR(a),I5 = NOR(c),I6 = NOR(I3, I2)",106,3
11100010,"Or(And(~x[0], x[1]), And(~x[1], ~x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(a),I4 = NOR(a, c)",172,3
11100011,"Or(And(~x[1], ~x[2]), And(x[1], x[2]), And(~x[0], ~x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b, c),I3 = NOR(I4, I6),I4 = NOR(I5, c),I5 = NOR(a, c),I6 = NOR(a, I5)",44,3
11100100,"Or(And(x[0], ~x[1]), And(~x[0], ~x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(b),I4 = NOR(b, c)",172,3
11100101,"Or(And(~x[0], ~x[2]), And(~x[1], ~x[2]), And(x[0], x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(a, c),I3 = NOR(I4, I6),I4 = NOR(I5, c),I5 = NOR(b, c),I6 = NOR(b, I5)",44,3
11100110,"Or(And(x[0], ~x[1]), And(~x[0], x[1]), And(~x[1], ~x[2]))",6,"O = NOR(I1, I7),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(a, b),I4 = NOR(b, I2)",152,3
11100111,"Or(And(~x[0], x[1]), And(~x[1], ~x[2]), And(x[0], x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(a, b),I3 = NOR(I4, I5),I4 = NOR(b, c),I5 = NOR(a, I6),I6 = NOR(c)",24,3
11101000,"Or(And(~x[0], ~x[2]), And(~x[0], ~x[1]), And(~x[1], ~x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b, c),I3 = NOR(a, I4),I4 = NOR(I5, I6),I5 = NOR(c),I6 = NOR(b)",232,3
11101001,"Or(And(~x[0], ~x[2]), And(~x[0], ~x[1]), And(x[0], x[1], x[2]), And(~x[1], ~x[2]))",10,"O = NOR(I1, I13),I1 = NOR(I2, I8),I2 = NOR(b, I3),I3 = NOR(I4, I6),I4 = NOR(a, I5),I5 = NOR(a, c),I6 = NOR(I5, c),I8 = NOR(I6, I11)",104,3
11101010,"Or(~x[0], And(~x[1], ~x[2]))",4,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(a, b)",168,3
11101011,"Or(~x[0], And(x[1], x[2]), And(~x[1], ~x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4, I6),I4 = NOR(I5, b),I5 = NOR(a, b),I6 = NOR(a, I5)",40,3
11101100,"Or(~x[1], And(~x[0], ~x[2]))",4,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(b, a)",168,3
11101101,"Or(~x[1], And(~x[0], ~x[2]), And(x[0], x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4, I6),I4 = NOR(I5, a),I5 = NOR(b, a),I6 = NOR(b, I5)",40,3
11101110,"Or(~x[0], ~x[1])",6,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(I5, a),I5 = NOR(b)",8,2
11101111,"Or(~x[0], ~x[1], x[2])",6,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(I5, a),I5 = NOR(b)",8,3
11110000,~x[2],5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(a, b)",2,1
11110001,"Or(~x[2], And(x[0], x[1]))",4,"O = NOR(I1, I3),I1 = NOR(I2, a),I2 = NOR(b),I3 = NOR(c, I2)",42,3
11110010,"Or(~x[2], And(~x[0], x[1]))",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b),I3 = NOR(a, I4),I4 = NOR(c)",138,3
11110011,"Or(x[1], ~x[2])",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b),I3 = NOR(I4),I4 = NOR(a, c)",2,2
11110100,"Or(~x[2], And(x[0], ~x[1]))",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(a),I3 = NOR(b, I4),I4 = NOR(c)",138,3
11110101,"Or(x[0], ~x[2])",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b),I3 = NOR(I4),I4 = NOR(c, a)",2,2
11110110,"Or(~x[2], And(x[0], ~x[1]), And(~x[0], x[1]))",8,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b),I3 = NOR(I4),I4 = NOR(I5, I7),I5 = NOR(a, I6),I6 = NOR(a, c),I7 = NOR(c, I6)",130,3
11110111,"Or(x[0], x[1], ~x[2])",5,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b),I3 = NOR(I4),I4 = NOR(c, a)",2,3
11111000,"Or(~x[2], And(~x[0], ~x[1]))",4,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b),I3 = NOR(c, a)",168,3
11111001,"Or(~x[2], And(~x[0], ~x[1]), And(x[0], x[1]))",7,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b),I3 = NOR(I4, I6),I4 = NOR(I5, a),I5 = NOR(c, a),I6 = NOR(c, I5)",40,3
11111010,"Or(~x[0], ~x[2])",6,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(I5, a),I5 = NOR(b)",8,2
11111011,"Or(~x[0], x[1], ~x[2])",6,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(b),I3 = NOR(I4),I4 = NOR(I5, a),I5 = NOR(c)",8,3
11111100,"Or(~x[1], ~x[2])",6,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(I5, a),I5 = NOR(b)",8,2
11111101,"Or(x[0], ~x[1], ~x[2])",6,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(a),I3 = NOR(I4),I4 = NOR(I5, b),I5 = NOR(c)",8,3
11111110,"Or(~x[0], ~x[1], ~x[2])",7,"O = NOR(I1),I1 = NOR(I2, I3),I2 = NOR(c),I3 = NOR(I4),I4 = NOR(I5, I6),I5 = NOR(b),I6 = NOR(a)",128,3
11111111,1,4,"O = NOR(I1),I1 = NOR(a, I2),I2 = NOR(I3),I3 = NOR(b, c)",1,0
