value,point
195.0,"[7.2, 0.16]"
200.0,"[7.2, 0.16]"
205.0,"[7.2, 0.16]"
210.0,"[7.2, 0.16]"
215.0,"[7.2, 0.16]"
220.0,"[7.2, 0.16]"
225.0,"[7.2, 0.16]"
230.0,"[7.2, 0.16]"
235.0,"[7.2, 0.16]"
240.0,"[7.2, 0.16]"
245.0,"[7.2, 0.16]"
250.0,"[7.2, 0.16]"
250.0,"[7.2, 0.16]"
255.0,"[7.2, 0.16]"
260.0,"[7.2, 0.16]"
265.0,"[7.2, 0.16]"
270.0,"[7.2, 0.16]"
275.0,"[7.2, 0.16]"
280.0,"[7.2, 0.16]"
285.0,"[7.2, 0.16]"
290.0,"[7.2, 0.16]"
290.0,"[7.2, 0.16]"
295.0,"[7.2, 0.16]"
295.0,"[7.2, 0.16]"
300.0,"[7.2, 0.16]"
300.0,"[7.2, 0.16]"
305.0,"[7.2, 0.16]"
305.0,"[7.2, 0.16]"
310.0,"[7.2, 0.16]"
310.0,"[7.2, 0.16]"
315.0,"[7.2, 0.16]"
315.0,"[7.2, 0.16]"
315.0,"[7.2, 0.16]"
320.0,"[7.2, 0.16]"
320.0,"[7.2, 0.16]"
320.0,"[7.2, 0.16]"
325.0,"[7.2, 0.16]"
325.0,"[7.2, 0.16]"
325.0,"[7.2, 0.16]"
330.0,"[7.2, 0.16]"
330.0,"[7.2, 0.16]"
330.0,"[7.2, 0.16]"
335.0,"[7.2, 0.16]"
335.0,"[7.2, 0.16]"
335.0,"[7.2, 0.16]"
335.0,"[7.2, 0.16]"
340.0,"[7.2, 0.16]"
340.0,"[7.2, 0.16]"
340.0,"[7.2, 0.16]"
345.0,"[7.2, 0.16]"
345.0,"[7.2, 0.16]"
345.0,"[7.2, 0.16]"
350.0,"[7.2, 0.16]"
350.0,"[7.2, 0.16]"
350.0,"[7.2, 0.16]"
355.0,"[7.2, 0.16]"
355.0,"[7.2, 0.16]"
355.0,"[7.2, 0.16]"
355.0,"[7.2, 0.16]"
360.0,"[7.2, 0.16]"
360.0,"[7.2, 0.16]"
360.0,"[7.2, 0.16]"
360.0,"[7.2, 0.16]"
365.0,"[7.2, 0.16]"
365.0,"[7.2, 0.16]"
365.0,"[7.2, 0.16]"
365.0,"[7.2, 0.16]"
365.0,"[7.2, 0.16]"
370.0,"[7.2, 0.16]"
370.0,"[7.2, 0.16]"
370.0,"[7.2, 0.16]"
370.0,"[7.2, 0.16]"
370.0,"[7.2, 0.16]"
375.0,"[7.2, 0.16]"
375.0,"[7.2, 0.16]"
375.0,"[7.2, 0.16]"
375.0,"[7.2, 0.16]"
375.0,"[7.2, 0.16]"
380.0,"[7.2, 0.16]"
380.0,"[7.2, 0.16]"
380.0,"[7.2, 0.16]"
380.0,"[7.2, 0.16]"
380.0,"[7.2, 0.16]"
380.0,"[7.2, 0.16]"
385.0,"[7.2, 0.16]"
385.0,"[7.2, 0.16]"
385.0,"[7.2, 0.16]"
385.0,"[7.2, 0.16]"
385.0,"[7.2, 0.16]"
385.0,"[7.2, 0.16]"
390.0,"[7.2, 0.16]"
390.0,"[7.2, 0.16]"
390.0,"[7.2, 0.16]"
390.0,"[7.2, 0.16]"
390.0,"[7.2, 0.16]"
390.0,"[7.2, 0.16]"
395.0,"[7.2, 0.16]"
395.0,"[7.2, 0.16]"
395.0,"[7.2, 0.16]"
395.0,"[7.2, 0.16]"
395.0,"[7.2, 0.16]"
395.0,"[7.2, 0.16]"
400.0,"[7.2, 0.16]"
400.0,"[7.2, 0.16]"
400.0,"[7.2, 0.16]"
400.0,"[7.2, 0.16]"
400.0,"[7.2, 0.16]"
400.0,"[7.2, 0.16]"
400.0,"[7.2, 0.16]"
405.0,"[7.2, 0.16]"
405.0,"[7.2, 0.16]"
405.0,"[7.2, 0.16]"
405.0,"[7.2, 0.16]"
405.0,"[7.2, 0.16]"
405.0,"[7.2, 0.16]"
405.0,"[7.2, 0.16]"
410.0,"[7.2, 0.16]"
410.0,"[7.2, 0.16]"
410.0,"[7.2, 0.16]"
410.0,"[7.2, 0.16]"
410.0,"[7.2, 0.16]"
410.0,"[7.2, 0.16]"
410.0,"[7.2, 0.16]"
415.0,"[7.2, 0.16]"
415.0,"[7.2, 0.16]"
415.0,"[7.2, 0.16]"
415.0,"[7.2, 0.16]"
415.0,"[7.2, 0.16]"
415.0,"[7.2, 0.16]"
415.0,"[7.2, 0.16]"
420.0,"[7.2, 0.16]"
420.0,"[7.2, 0.16]"
420.0,"[7.2, 0.16]"
420.0,"[7.2, 0.16]"
420.0,"[7.2, 0.16]"
420.0,"[7.2, 0.16]"
420.0,"[7.2, 0.16]"
425.0,"[7.2, 0.16]"
425.0,"[7.2, 0.16]"
425.0,"[7.2, 0.16]"
425.0,"[7.2, 0.16]"
425.0,"[7.2, 0.16]"
425.0,"[7.2, 0.16]"
425.0,"[7.2, 0.16]"
430.0,"[7.2, 0.16]"
430.0,"[7.2, 0.16]"
430.0,"[7.2, 0.16]"
430.0,"[7.2, 0.16]"
430.0,"[7.2, 0.16]"
430.0,"[7.2, 0.16]"
435.0,"[7.2, 0.16]"
435.0,"[7.2, 0.16]"
435.0,"[7.2, 0.16]"
435.0,"[7.2, 0.16]"
435.0,"[7.2, 0.16]"
435.0,"[7.2, 0.16]"
440.0,"[7.2, 0.16]"
440.0,"[7.2, 0.16]"
440.0,"[7.2, 0.16]"
440.0,"[7.2, 0.16]"
440.0,"[7.2, 0.16]"
440.0,"[7.2, 0.16]"
445.0,"[7.2, 0.16]"
445.0,"[7.2, 0.16]"
445.0,"[7.2, 0.16]"
445.0,"[7.2, 0.16]"
445.0,"[7.2, 0.16]"
445.0,"[7.2, 0.16]"
450.0,"[7.2, 0.16]"
450.0,"[7.2, 0.16]"
450.0,"[7.2, 0.16]"
450.0,"[7.2, 0.16]"
450.0,"[7.2, 0.16]"
450.0,"[7.2, 0.16]"
455.0,"[7.2, 0.16]"
455.0,"[7.2, 0.16]"
455.0,"[7.2, 0.16]"
455.0,"[7.2, 0.16]"
455.0,"[7.2, 0.16]"
455.0,"[7.2, 0.16]"
460.0,"[7.2, 0.16]"
460.0,"[7.2, 0.16]"
460.0,"[7.2, 0.16]"
460.0,"[7.2, 0.16]"
460.0,"[7.2, 0.16]"
465.0,"[7.2, 0.16]"
465.0,"[7.2, 0.16]"
465.0,"[7.2, 0.16]"
465.0,"[7.2, 0.16]"
465.0,"[7.2, 0.16]"
470.0,"[7.2, 0.16]"
470.0,"[7.2, 0.16]"
470.0,"[7.2, 0.16]"
470.0,"[7.2, 0.16]"
470.0,"[7.2, 0.16]"
475.0,"[7.2, 0.16]"
475.0,"[7.2, 0.16]"
475.0,"[7.2, 0.16]"
475.0,"[7.2, 0.16]"
475.0,"[7.2, 0.16]"
480.0,"[7.2, 0.16]"
480.0,"[7.2, 0.16]"
480.0,"[7.2, 0.16]"
480.0,"[7.2, 0.16]"
480.0,"[7.2, 0.16]"
485.0,"[7.2, 0.16]"
485.0,"[7.2, 0.16]"
485.0,"[7.2, 0.16]"
485.0,"[7.2, 0.16]"
485.0,"[7.2, 0.16]"
490.0,"[7.2, 0.16]"
490.0,"[7.2, 0.16]"
490.0,"[7.2, 0.16]"
490.0,"[7.2, 0.16]"
490.0,"[7.2, 0.16]"
495.0,"[7.2, 0.16]"
495.0,"[7.2, 0.16]"
495.0,"[7.2, 0.16]"
495.0,"[7.2, 0.16]"
495.0,"[7.2, 0.16]"
500.0,"[7.2, 0.16]"
500.0,"[7.2, 0.16]"
500.0,"[7.2, 0.16]"
500.0,"[7.2, 0.16]"
500.0,"[7.2, 0.16]"
