x1,x2,x3,x4,x5,x6,x7,Î´range
false,false,false,false,false,false,false,200
false,false,false,false,false,false,false,205
false,false,false,false,false,false,false,210
false,false,false,false,false,false,false,215
false,false,false,false,false,false,false,220
false,false,false,false,false,false,false,225
false,false,false,false,false,false,false,230
false,false,false,false,false,false,false,235
false,false,false,false,false,false,false,240
false,false,false,false,false,false,false,245
false,false,false,false,false,false,false,250
false,false,false,false,false,false,false,255
false,false,false,false,false,false,false,260
false,false,false,false,false,false,false,265
false,false,false,false,false,false,false,270
false,false,false,false,false,false,false,275
false,false,false,false,false,false,false,280
false,false,false,false,false,false,false,285
false,false,false,false,false,false,false,290
false,false,false,false,false,false,false,295
false,false,false,true,false,false,false,300
false,false,false,true,false,false,false,305
false,false,false,true,false,false,false,310
false,false,false,true,false,false,false,315
false,false,false,true,false,true,false,320
false,false,true,true,false,true,false,325
false,false,true,true,false,true,false,330
false,false,true,true,false,true,false,335
false,false,true,true,false,true,false,340
false,false,true,true,false,true,true,345
false,false,true,true,false,true,true,350
false,false,true,true,false,true,true,355
false,true,true,true,false,true,true,360
false,true,true,true,false,true,true,365
false,true,true,true,false,true,true,370
true,true,true,true,false,true,true,375
true,true,true,true,false,true,true,380
true,true,true,true,true,true,true,385
true,true,true,true,true,true,true,390
true,true,true,true,true,true,true,395
true,true,true,true,true,true,true,400
true,true,true,true,true,true,true,405
true,true,true,true,true,true,true,410
true,true,true,true,true,true,true,415
true,true,true,true,true,true,true,420
true,true,true,true,true,true,true,425
true,true,true,true,true,true,true,430
true,true,true,true,true,true,true,435
true,true,true,true,true,true,true,440
true,true,true,true,true,true,true,445
true,true,true,true,true,true,true,450
true,true,true,true,true,true,true,455
true,true,true,true,false,true,true,460
false,true,true,true,false,true,true,465
false,true,true,true,false,true,true,470
false,false,true,true,false,true,true,475
false,false,true,true,false,true,true,480
false,false,true,true,false,true,true,485
false,false,true,true,false,true,true,490
false,false,true,true,false,true,false,495
false,false,true,true,false,true,false,500
false,false,true,true,false,true,false,505
false,false,false,true,false,true,false,510
false,false,false,true,false,true,false,515
false,false,false,true,false,false,false,520
false,false,false,true,false,false,false,525
false,false,false,true,false,false,false,530
false,false,false,true,false,false,false,535
false,false,false,true,false,false,false,540
false,false,false,true,false,false,false,545
false,false,false,true,false,false,false,550
false,false,false,false,false,false,false,555
false,false,false,false,false,false,false,560
false,false,false,false,false,false,false,565
false,false,false,false,false,false,false,570
false,false,false,false,false,false,false,575
false,false,false,false,false,false,false,580
false,false,false,false,false,false,false,585
false,false,false,false,false,false,false,590
false,false,false,false,false,false,false,595
false,false,false,false,false,false,false,600
